field_name,field_type
KltChnl.upperKltChnl.upperKltChnl.upper|1KltChnl.upper|5KltChnl.upper|15KltChnl.upper|30KltChnl.upper|60KltChnl.upper|120KltChnl.upper|240KltChnl.upper|1WKltChnl.upper|1M,number
last_annual_revenue,fundamental_price
lowlowlow|1low|5low|15low|30low|60low|120low|240low|1Wlow|1M,price
MACD.macdMACD.macdMACD.macd|1MACD.macd|5MACD.macd|15MACD.macd|30MACD.macd|60MACD.macd|120MACD.macd|240MACD.macd|1WMACD.macd|1M,number
MACD.signalMACD.signalMACD.signal|1MACD.signal|5MACD.signal|15MACD.signal|30MACD.signal|60MACD.signal|120MACD.signal|240MACD.signal|1WMACD.signal|1M,number
MomMomMom|1Mom|5Mom|15Mom|30Mom|60Mom|120Mom|240Mom|1WMom|1M,number
MoneyFlowMoneyFlowMoneyFlow|1MoneyFlow|5MoneyFlow|15MoneyFlow|30MoneyFlow|60MoneyFlow|120MoneyFlow|240MoneyFlow|1WMoneyFlow|1M,number
Perf.1M,number
Recommend.MARecommend.MARecommend.MA|1Recommend.MA|5Recommend.MA|15Recommend.MA|30Recommend.MA|60Recommend.MA|120Recommend.MA|240Recommend.MA|1WRecommend.MA|1M,number
ADX-DIADX-DIADX-DI|1ADX-DI|5ADX-DI|15ADX-DI|30ADX-DI|60ADX-DI|120ADX-DI|240ADX-DI|1WADX-DI|1M,number
net_debt,fundamental_price
net_income_yoy_growth_fy,percent
net_income,fundamental_price
net_income_qoq_growth_fq,percent
net_income_yoy_growth_fq,percent
net_income_yoy_growth_ttm,percent
net_income_bef_disc_oper_margin_fy,percent
after_tax_margin,percent
number_of_shareholders,number
openopenopen|1open|5open|15open|30open|60open|120open|240open|1Wopen|1M,price
oper_income_margin_fy,percent
operating_margin,percent
Recommend.OtherRecommend.OtherRecommend.Other|1Recommend.Other|5Recommend.Other|15Recommend.Other|30Recommend.Other|60Recommend.Other|120Recommend.Other|240Recommend.Other|1WRecommend.Other|1M,number
P.SARP.SARP.SAR|1P.SAR|5P.SAR|15P.SAR|30P.SAR|60P.SAR|120P.SAR|240P.SAR|1WP.SAR|1M,number
Pivot.M.Camarilla.MiddlePivot.M.Camarilla.MiddlePivot.M.Camarilla.Middle|1Pivot.M.Camarilla.Middle|5Pivot.M.Camarilla.Middle|15Pivot.M.Camarilla.Middle|30Pivot.M.Camarilla.Middle|60Pivot.M.Camarilla.Middle|120Pivot.M.Camarilla.Middle|240Pivot.M.Camarilla.Middle|1WPivot.M.Camarilla.Middle|1M,number
Pivot.M.Camarilla.R1Pivot.M.Camarilla.R1Pivot.M.Camarilla.R1|1Pivot.M.Camarilla.R1|5Pivot.M.Camarilla.R1|15Pivot.M.Camarilla.R1|30Pivot.M.Camarilla.R1|60Pivot.M.Camarilla.R1|120Pivot.M.Camarilla.R1|240Pivot.M.Camarilla.R1|1WPivot.M.Camarilla.R1|1M,number
Pivot.M.Camarilla.R2Pivot.M.Camarilla.R2Pivot.M.Camarilla.R2|1Pivot.M.Camarilla.R2|5Pivot.M.Camarilla.R2|15Pivot.M.Camarilla.R2|30Pivot.M.Camarilla.R2|60Pivot.M.Camarilla.R2|120Pivot.M.Camarilla.R2|240Pivot.M.Camarilla.R2|1WPivot.M.Camarilla.R2|1M,number
Pivot.M.Camarilla.R3Pivot.M.Camarilla.R3Pivot.M.Camarilla.R3|1Pivot.M.Camarilla.R3|5Pivot.M.Camarilla.R3|15Pivot.M.Camarilla.R3|30Pivot.M.Camarilla.R3|60Pivot.M.Camarilla.R3|120Pivot.M.Camarilla.R3|240Pivot.M.Camarilla.R3|1WPivot.M.Camarilla.R3|1M,number
Pivot.M.Camarilla.S1Pivot.M.Camarilla.S1Pivot.M.Camarilla.S1|1Pivot.M.Camarilla.S1|5Pivot.M.Camarilla.S1|15Pivot.M.Camarilla.S1|30Pivot.M.Camarilla.S1|60Pivot.M.Camarilla.S1|120Pivot.M.Camarilla.S1|240Pivot.M.Camarilla.S1|1WPivot.M.Camarilla.S1|1M,number
Pivot.M.Camarilla.S2Pivot.M.Camarilla.S2Pivot.M.Camarilla.S2|1Pivot.M.Camarilla.S2|5Pivot.M.Camarilla.S2|15Pivot.M.Camarilla.S2|30Pivot.M.Camarilla.S2|60Pivot.M.Camarilla.S2|120Pivot.M.Camarilla.S2|240Pivot.M.Camarilla.S2|1WPivot.M.Camarilla.S2|1M,number
Pivot.M.Camarilla.S3Pivot.M.Camarilla.S3Pivot.M.Camarilla.S3|1Pivot.M.Camarilla.S3|5Pivot.M.Camarilla.S3|15Pivot.M.Camarilla.S3|30Pivot.M.Camarilla.S3|60Pivot.M.Camarilla.S3|120Pivot.M.Camarilla.S3|240Pivot.M.Camarilla.S3|1WPivot.M.Camarilla.S3|1M,number
Pivot.M.Classic.MiddlePivot.M.Classic.MiddlePivot.M.Classic.Middle|1Pivot.M.Classic.Middle|5Pivot.M.Classic.Middle|15Pivot.M.Classic.Middle|30Pivot.M.Classic.Middle|60Pivot.M.Classic.Middle|120Pivot.M.Classic.Middle|240Pivot.M.Classic.Middle|1WPivot.M.Classic.Middle|1M,number
Pivot.M.Classic.R1Pivot.M.Classic.R1Pivot.M.Classic.R1|1Pivot.M.Classic.R1|5Pivot.M.Classic.R1|15Pivot.M.Classic.R1|30Pivot.M.Classic.R1|60Pivot.M.Classic.R1|120Pivot.M.Classic.R1|240Pivot.M.Classic.R1|1WPivot.M.Classic.R1|1M,number
Pivot.M.Classic.R2Pivot.M.Classic.R2Pivot.M.Classic.R2|1Pivot.M.Classic.R2|5Pivot.M.Classic.R2|15Pivot.M.Classic.R2|30Pivot.M.Classic.R2|60Pivot.M.Classic.R2|120Pivot.M.Classic.R2|240Pivot.M.Classic.R2|1WPivot.M.Classic.R2|1M,number
Pivot.M.Classic.R3Pivot.M.Classic.R3Pivot.M.Classic.R3|1Pivot.M.Classic.R3|5Pivot.M.Classic.R3|15Pivot.M.Classic.R3|30Pivot.M.Classic.R3|60Pivot.M.Classic.R3|120Pivot.M.Classic.R3|240Pivot.M.Classic.R3|1WPivot.M.Classic.R3|1M,number
Pivot.M.Classic.S1Pivot.M.Classic.S1Pivot.M.Classic.S1|1Pivot.M.Classic.S1|5Pivot.M.Classic.S1|15Pivot.M.Classic.S1|30Pivot.M.Classic.S1|60Pivot.M.Classic.S1|120Pivot.M.Classic.S1|240Pivot.M.Classic.S1|1WPivot.M.Classic.S1|1M,number
Pivot.M.Classic.S2Pivot.M.Classic.S2Pivot.M.Classic.S2|1Pivot.M.Classic.S2|5Pivot.M.Classic.S2|15Pivot.M.Classic.S2|30Pivot.M.Classic.S2|60Pivot.M.Classic.S2|120Pivot.M.Classic.S2|240Pivot.M.Classic.S2|1WPivot.M.Classic.S2|1M,number
